ants,evaporation_rate,best_fitness,average_fitness,std_dev_fitness
60,0.1,44,99.0,44.5
60,0.15,9,108.5,62.4
60,0.2,21,65.3,35.7
60,0.25,38,64.0,18.7
60,0.3,29,57.5,22.3
60,0.35,15,78.9,59.8
60,0.4,49,73.2,28.9
60,0.45,32,88.8,41.6
60,0.5,167,225.1,45.9
60,0.55,118,264.9,91.7
60,0.6,118,356.9,126.0
60,0.65,230,336.9,78.5
60,0.7,92,462.3,147.3
60,0.75,220,466.7,109.8
60,0.8,354,584.1,133.4
60,0.85,349,626.6,210.6
60,0.9,340,690.4,181.7
60,0.95,227,651.3,262.2
60,1.0,375,747.0,201.8
65,0.05,32,71.8,25.2
65,0.1,20,61.6,38.3
65,0.15,16,64.2,36.0
65,0.2,25,57.9,25.2
65,0.25,32,73.7,45.7
65,0.3,37,63.7,23.6
65,0.35,16,61.1,35.4
65,0.4,37,109.4,52.9
65,0.45,72,172.7,53.1
65,0.5,80,253.4,105.7
65,0.55,217,365.1,105.3
65,0.6,170,326.9,118.9
65,0.65,246,415.1,136.6
65,0.7,170,463.5,195.6
65,0.75,341,562.0,201.9
65,0.8,428,568.9,111.2
65,0.85,307,644.9,195.5
65,0.9,351,595.8,155.9
65,0.95,376,662.7,278.7
65,1.0,400,726.7,180.570,0.05,46,99.1,50.5
70,0.1,28,70.9,33.4
70,0.15,12,62.6,54.4
70,0.2,22,74.5,45.6
70,0.25,35,70.8,22.0
70,0.3,10,58.3,37.9
70,0.35,29,133.5,61.6
70,0.4,40,154.4,61.9
70,0.45,105,190.6,68.9
70,0.5,75,253.6,92.1
70,0.55,208,320.1,93.5
70,0.6,253,436.8,145.9
70,0.65,301,519.8,164.6
70,0.7,227,452.4,165.9
70,0.75,226,489.7,146.4
70,0.8,372,560.4,160.4
70,0.85,500,662.5,120.4
70,0.9,320,611.0,218.7
70,0.95,393,658.8,196.5
70,1.0,447,702.3,165.2
75,0.05,11,37.9,23.8
75,0.1,21,56.7,27.8
75,0.15,20,43.4,13.0
75,0.2,17,54.2,22.3
75,0.25,25,53.5,23.6
75,0.3,41,95.9,38.4
75,0.35,41,124.6,44.6
75,0.4,102,247.9,83.0
75,0.45,175,264.7,54.1
75,0.5,212,312.2,62.0
75,0.55,149,421.0,140.1
75,0.6,368,521.4,99.4
75,0.65,309,550.6,134.3
75,0.7,367,556.9,134.1
75,0.75,421,577.8,109.3
75,0.8,515,701.4,97.1
75,0.85,386,595.6,155.6
75,0.9,278,633.3,159.6
75,0.95,381,761.3,182.1
75,1.0,491,699.3,163.2
80,0.05,14,65.7,36.1
80,0.1,29,61.8,28.4
80,0.15,17,52.9,28.0
80,0.2,29,58.3,25.7
80,0.25,39,97.5,53.9
80,0.3,51,113.7,66.1
80,0.35,33,151.7,87.4
80,0.4,227,275.3,33.0
80,0.45,158,264.1,69.3
80,0.5,105,397.5,144.3
80,0.55,253,410.1,83.8
80,0.6,292,450.7,114.2
80,0.65,287,468.1,107.4
80,0.7,181,528.7,183.5
80,0.75,259,562.7,194.7
80,0.8,200,629.8,192.2
80,0.85,133,589.3,217.9
80,0.9,234,580.9,205.8
80,0.95,356,679.0,206.6
80,1.0,366,661.1,141.5
85,0.05,19,51.2,29.5
85,0.1,32,57.6,16.0
85,0.15,21,53.5,21.8
85,0.2,22,68.1,31.0
85,0.25,57,124.3,44.7
85,0.3,147,221.9,74.8
85,0.35,127,219.3,52.1
85,0.4,189,295.1,69.7
85,0.45,213,368.2,127.4
85,0.5,213,354.5,74.5
85,0.55,260,409.6,114.2
85,0.6,221,504.3,181.5
85,0.65,306,512.4,87.6
85,0.7,335,557.9,159.8
85,0.75,373,582.0,140.4
85,0.8,302,562.9,186.6
85,0.85,342,654.9,170.6
85,0.9,272,551.3,189.7
85,0.95,336,634.1,212.4
85,1.0,286,640.9,222.8
90,0.05,33,65.5,25.8
90,0.1,26,75.3,40.2
90,0.15,16,71.2,36.1
90,0.2,64,152.4,56.0
90,0.25,130,173.6,33.6
90,0.3,80,203.9,79.7
90,0.35,146,219.2,46.8
90,0.4,173,311.6,77.7
90,0.45,216,368.3,97.2
90,0.5,277,469.1,135.3
90,0.55,222,382.1,100.5
90,0.6,121,371.8,149.6
90,0.65,264,516.4,135.6
90,0.7,331,565.9,114.2
90,0.75,299,533.1,134.2
90,0.8,255,633.7,206.1
90,0.85,238,546.2,185.6
90,0.9,493,642.4,103.4
90,0.95,452,603.8,151.5
90,1.0,440,753.0,170.1
95,0.05,19,66.8,29.5
95,0.1,17,70.6,37.3
95,0.15,51,112.0,59.1
95,0.2,71,144.5,72.1
95,0.25,139,207.8,62.5
95,0.3,56,205.9,104.1
95,0.35,172,345.1,80.6
95,0.4,129,313.6,108.2
95,0.45,253,354.2,100.3
95,0.5,264,413.9,103.5
95,0.55,271,474.9,170.1
95,0.6,276,487.6,142.8
95,0.65,447,575.7,87.3
95,0.7,356,586.4,180.8
95,0.75,285,516.3,177.4
95,0.8,187,519.5,207.7
95,0.85,437,706.0,173.5
95,0.9,264,513.9,186.3
95,0.95,353,626.6,164.0
95,1.0,278,630.8,194.2
100,0.05,16,75.7,32.4
